"city","strain_year","year","subtype","reference_strain","epi_alarm","start","end","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size","mean_epi_ah","mean_epi_temp","mean_epi_rainfall"
"ADELAIDE","2000_A/Moscow/10/99-like",2000,"H3","A/Moscow/10/99-like","Y",16,22,64,56.0064267374681,0.566371681415929,NA,NA,"Y",1,0,0,64.6666666666667,7.97953571788493,13.9030612244898,1.93836734693878
"ADELAIDE","2000_B/Sichuan/379/99-like",2000,"B/Yam","B/Sichuan/379/99-like","Y",17,21,38,33.2538158753717,0.336283185840708,NA,NA,"N",0.59375,1,0.0927835051546392,64.6666666666667,8.11551909255298,13.6342857142857,2.49614285714286
"ADELAIDE","2000_A/New Caledonia/20/99-like",2000,"H1sea","A/New Caledonia/20/99-like","Y",19,21,11,9.62610459550234,0.0973451327433628,NA,NA,"N",0.171875,3,0.850515463917526,64.6666666666667,8.37503725117464,14.9071428571429,1.85619047619048
"ADELAIDE","2001_A/New Caledonia/20/99-like",2001,"H1sea","A/New Caledonia/20/99-like","Y",16,21,49,42.6827037489351,0.556818181818182,0,0,"Y",1,0,0,64.6666666666667,7.77180141393857,13.5904761904762,2.61682234432234
"ADELAIDE","2001_A/Moscow/10/99-like",2001,"H3","A/Moscow/10/99-like","Y",17,20,25,21.776889667824,0.284090909090909,0,0,"N",0.510204081632653,1,0.262886597938144,64.6666666666667,8.03032036470016,13.7875,3.0771978021978
"ADELAIDE","2001_B/Sichuan/379/99-like",2001,"B/Yam","B/Sichuan/379/99-like","Y",18,20,14,12.1950582139815,0.159090909090909,0,0,"N",0.285714285714286,2,0.695876288659794,64.6666666666667,8.25135647176363,14.1714285714286,2.87857142857143
"ADELAIDE","2002_B/Sichuan/379/99-like",2002,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,64.6666666666667,NA,NA,NA
"ADELAIDE","2002_A/Moscow/10/99-like",2002,"H3","A/Moscow/10/99-like","Y",11,19,148,128.140636079728,0.86046511627907,0,0,"Y",1,0,0,64.6666666666667,7.21848456959919,12.104415954416,1.30425396825397
"ADELAIDE","2002_B/Hong Kong/330/2001-like",2002,"B/Vic","B/Hong Kong/330/2001-like","Y",11,15,24,20.7795626075234,0.13953488372093,1,1,"N",0.162162162162162,0,0,64.6666666666667,7.46322274070407,11.6004761904762,1.6728
"ADELAIDE","2003_A/Fujian/411/2002-like",2003,"H3","A/Fujian/411/2002-like","Y",16,20,151,129.920412992041,1,1,1,"Y",1,0,0,64.6666666666667,7.54074380954699,11.8853846153846,1.61736263736264
