year,city,ERP
2000,ADELAIDE,1142726
2000,BRISBANE,1660663
2000,MELBOURNE,3450077
2000,PERTH,1432115
2000,SYDNEY,4041730
2001,ADELAIDE,1148006
2001,BRISBANE,1693556
2001,MELBOURNE,3500249
2001,PERTH,1455361
2001,SYDNEY,4102580
2002,ADELAIDE,1154981
2002,BRISBANE,1735730
2002,MELBOURNE,3545579
2002,PERTH,1474536
2002,SYDNEY,4135637
2003,ADELAIDE,1162250
2003,BRISBANE,1780650
2003,MELBOURNE,3594031
2003,PERTH,1496016
2003,SYDNEY,4162593
2004,ADELAIDE,1168541
2004,BRISBANE,1823496
2004,MELBOURNE,3641951
2004,PERTH,1520232
2004,SYDNEY,4184763
2005,ADELAIDE,1177345
2005,BRISBANE,1866210
2005,MELBOURNE,3697372
2005,PERTH,1544977
2005,SYDNEY,4217563
2006,ADELAIDE,1189243
2006,BRISBANE,1908265
2006,MELBOURNE,3760760
2006,PERTH,1576912
2006,SYDNEY,4256161
2007,ADELAIDE,1204210
2007,BRISBANE,1958907
2007,MELBOURNE,3841760
2007,PERTH,1628467
2007,SYDNEY,4325525
2008,ADELAIDE,1219523
2008,BRISBANE,2012204
2008,MELBOURNE,3931438
2008,PERTH,1682860
2008,SYDNEY,4409562
2009,ADELAIDE,1237354
2009,BRISBANE,2068479
2009,MELBOURNE,4031787
2009,PERTH,1739342
2009,SYDNEY,4492380
2010,ADELAIDE,1253097
2010,BRISBANE,2108348
2010,MELBOURNE,4105857
2010,PERTH,1781132
2010,SYDNEY,4555516
2011,ADELAIDE,1264091
2011,BRISBANE,2147436
2011,MELBOURNE,4169366
2011,PERTH,1833567
2011,SYDNEY,4608949
2012,ADELAIDE,1277845
2012,BRISBANE,2196013
2012,MELBOURNE,4268835
2012,PERTH,1894006
2012,SYDNEY,4679872
2013,ADELAIDE,1289861
2013,BRISBANE,2241079
2013,MELBOURNE,4374921
2013,PERTH,1948736
2013,SYDNEY,4760881
2014,ADELAIDE,1302678
2014,BRISBANE,2281499
2014,MELBOURNE,4485133
2014,PERTH,1978499
2014,SYDNEY,4847482
2015,ADELAIDE,1314377
2015,BRISBANE,2318501
2015,MELBOURNE,4599141
2015,PERTH,2002114
2015,SYDNEY,4938039
