"city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size"
"ADELAIDE","2000_A/Moscow/10/99-like",2000,"H3","A/Moscow/10/99-like","Y",16,64,56.0064267374681,0.576576576576577,NA,NA,"Y",1,0,0,56.1896794666249
"ADELAIDE","2000_B/Sichuan/379/99-like",2000,"B/Yam","B/Sichuan/379/99-like","Y",16,37,32.3787154575988,0.333333333333333,NA,NA,"N",0.578125,0,0,56.1896794666249
"ADELAIDE","2000_A/New Caledonia/20/99-like",2000,"H1sea","A/New Caledonia/20/99-like","Y",19,10,8.7510041777294,0.0900900900900901,NA,NA,"N",0.15625,3,0.69407763792575,56.1896794666249
"ADELAIDE","2001_A/New Caledonia/20/99-like",2001,"H1sea","A/New Caledonia/20/99-like","Y",16,49,42.6827037489351,0.556818181818182,0,0,"Y",1,0,0,56.1896794666249
"ADELAIDE","2001_A/Moscow/10/99-like",2001,"H3","A/Moscow/10/99-like","Y",17,25,21.776889667824,0.284090909090909,0,0,"N",0.510204081632653,1,0.0711874500436667,56.1896794666249
"ADELAIDE","2001_B/Sichuan/379/99-like",2001,"B/Yam","B/Sichuan/379/99-like","Y",18,14,12.1950582139815,0.159090909090909,0,0,"N",0.285714285714286,2,0.302546662685583,56.1896794666249
"ADELAIDE","2002_A/Moscow/10/99-like",2002,"H3","A/Moscow/10/99-like","Y",11,148,128.140636079728,0.86046511627907,0,0,"Y",1,0,0,56.1896794666249
"ADELAIDE","2002_B/Hong Kong/330/2001-like",2002,"B/Vic","B/Hong Kong/330/2001-like","Y",11,24,20.7795626075234,0.13953488372093,1,1,"N",0.162162162162162,0,0,56.1896794666249
"ADELAIDE","2002_B/Sichuan/379/99-like",2002,"B/Yam","B/Sichuan/379/99-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,56.1896794666249
"ADELAIDE","2003_A/Fujian/411/2002-like",2003,"H3","A/Fujian/411/2002-like","Y",16,151,129.920412992041,1,1,1,"Y",1,0,0,56.1896794666249
"ADELAIDE","2004_A/California/7/2004-like",2004,"H3","A/California/7/2004-like","Y",20,12,10.2692160566039,1,1,1,"Y",1,1,0,56.1896794666249
"ADELAIDE","2004_A/Fujian/411/2002-like",2004,"H3","A/Fujian/411/2002-like","N",NA,NA,NA,NA,0,0,"N",NA,NA,NA,56.1896794666249
"ADELAIDE","2004_B/Shanghai/361/2002-like",2004,"B/Yam","B/Shanghai/361/2002-like","N",19,NA,NA,NA,0,1,"N",NA,0,NA,56.1896794666249
