"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","adjusted_d.AH_pvalue","adjusted_d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.597939093692207,0.000394,0.0109574046025655,0.53947,1,0.00197,1,"0.011  (0.539)","-0.598  (0)"
"BRISBANE",-0.254991885323462,0.221293,-0.0446158572610181,0.428399,1,0.442586,1,"-0.045  (0.428)","-0.255  (0.221)"
"MELBOURNE",-0.241647843735315,0.060299,-0.191580626780626,0.261139,1,0.180897,1,"-0.192  (0.261)","-0.242  (0.06)"
"PERTH",-0.488129097362175,0.024573,-0.193558903462129,0.274886,1,0.098292,1,"-0.194  (0.275)","-0.488  (0.025)"
"SYDNEY",0.33491030620845,0.896064,0.00979179487179427,0.530367,1,0.896064,1,"0.01  (0.53)","0.335  (0.896)"
"ADELAIDE",-0.339618659532722,0.029072,0.00343155052832486,0.529789,2,0.14536,1,"0.003  (0.53)","-0.34  (0.029)"
"BRISBANE",-0.0682313942234073,0.420929,0.0477880775138842,0.576326,2,1,1,"0.048  (0.576)","-0.068  (0.421)"
"MELBOURNE",-0.0603299413037971,0.327092,0.0299780219780227,0.551964,2,1,1,"0.03  (0.552)","-0.06  (0.327)"
"PERTH",-0.122670420824806,0.291276,-0.116979932254126,0.363367,2,1,1,"-0.117  (0.363)","-0.123  (0.291)"
"SYDNEY",0.0172510953119795,0.520703,0.0603474236874233,0.613192,2,1,1,"0.06  (0.613)","0.017  (0.521)"
"ADELAIDE",-0.244084244329624,0.090637,0.000641825319244654,0.522396,3,0.453185,1,"0.001  (0.522)","-0.244  (0.091)"
"BRISBANE",-0.0326224939693598,0.461293,0.0892740807579518,0.635246,3,1,1,"0.089  (0.635)","-0.033  (0.461)"
"MELBOURNE",-0.0145697081985622,0.435421,0.170966598833266,0.744827,3,1,1,"0.171  (0.745)","-0.015  (0.435)"
"PERTH",0.0746897481530599,0.588546,-0.131041225202516,0.331439,3,1,1,"-0.131  (0.331)","0.075  (0.589)"
"SYDNEY",0.0408636770273561,0.556523,0.0499502157102157,0.592507,3,1,1,"0.05  (0.593)","0.041  (0.557)"
