"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","adjusted_d.AH_pvalue","adjusted_d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.39432165254735,0.05386,0.650886655587116,0.948333,1,0.2693,1,"0.651  (0.948)","-0.394  (0.054)"
"BRISBANE",-0.208464339154545,0.32347,-0.145945365118752,0.329097,1,0.64694,1,"-0.146  (0.329)","-0.208  (0.323)"
"MELBOURNE",-0.182515831415488,0.195491,-0.0846742979242976,0.425117,1,0.586473,1,"-0.085  (0.425)","-0.183  (0.195)"
"PERTH",-0.522277668562927,0.062711,-0.271755730828311,0.266636,1,0.2693,1,"-0.272  (0.267)","-0.522  (0.063)"
"SYDNEY",0.189976666766442,0.696743,0.21944826007326,0.754214,1,0.696743,1,"0.219  (0.754)","0.19  (0.697)"
"ADELAIDE",-0.366599351798316,0.02853,0.269926536597043,0.826194,2,0.14265,1,"0.27  (0.826)","-0.367  (0.029)"
"BRISBANE",-0.310355502843756,0.190615,-0.121582993619284,0.327532,2,0.571845,1,"-0.122  (0.328)","-0.31  (0.191)"
"MELBOURNE",-0.0618637860589892,0.351611,0.176482295482296,0.722223,2,0.703222,1,"0.176  (0.722)","-0.062  (0.352)"
"PERTH",-0.43393135808995,0.052364,-0.328461390759778,0.167044,2,0.209456,0.83522,"-0.328  (0.167)","-0.434  (0.052)"
"SYDNEY",-0.0188880656586294,0.468491,0.0851721611721612,0.643262,2,0.703222,1,"0.085  (0.643)","-0.019  (0.468)"
"ADELAIDE",-0.311473535965317,0.040529,0.168161712839132,0.756453,3,0.202645,1,"0.168  (0.756)","-0.311  (0.041)"
"BRISBANE",-0.111607985051244,0.35343,0.0103953237622591,0.522018,3,1,1,"0.01  (0.522)","-0.112  (0.353)"
"MELBOURNE",-0.0272787007800105,0.415817,0.220101953601955,0.799507,3,1,1,"0.22  (0.8)","-0.027  (0.416)"
"PERTH",-0.298686987714005,0.097576,-0.276032927645831,0.175692,3,0.390304,0.87846,"-0.276  (0.176)","-0.299  (0.098)"
"SYDNEY",0.061752262398505,0.60076,0.26840460927961,0.892224,3,1,1,"0.268  (0.892)","0.062  (0.601)"
