"","city","strain_year","year","subtype","reference_strain","epi_alarm","start","epi_counts","incidence_per_mil","epi_fractional_counts","new_ag_marker","first_detection_of_new_ag","first_n_biggest","relative_to_first_n_biggest","delay","prior_everything_scaled","mean_epi_size","new_start"
"1","BRISBANE","2000_A/Moscow/10/99-like",2000,"H3","A/Moscow/10/99-like","Y",17,55,33.11930235,0.591397849,NA,NA,"Y",1,0,0,51.1118691597222,17
"2","BRISBANE","2000_B/Sichuan/379/99-like",2000,"B/Yam","B/Sichuan/379/99-like","Y",17,38,22.88242708,0.408602151,NA,NA,"N",0.690909091,0,0,51.1118691597222,17
"3","BRISBANE","2001_A/New Caledonia/20/99-like",2001,"H1sea","A/New Caledonia/20/99-like","Y",14,140,82.66629506,0.897435897,1,0,"Y",1,0,0,51.1118691597222,14
"4","BRISBANE","2001_A/Moscow/10/99-like",2001,"H3","A/Moscow/10/99-like","Y",15,16,9.447576579,0.102564103,0,0,"N",0.114285714,1,0.0577628587933556,51.1118691597222,15
"5","BRISBANE","2002_A/Moscow/10/99-like",2002,"H3","A/Moscow/10/99-like","Y",12,323,186.0888502,0.821882952,0,0,"N",4.614285714,1,0.0338156174297047,51.1118691597222,12
"6","BRISBANE","2002_B/Hong Kong/330/2001-like",2002,"B/Vic","B/Hong Kong/330/2001-like","Y",11,70,40.32885299,0.178117048,1,1,"Y",1,0,0,51.1118691597222,11
"7","BRISBANE","2003_A/Fujian/411/2002-like",2003,"H3","A/Fujian/411/2002-like","Y",14,326,183.0792126,1,1,1,"Y",1,0,0,51.1118691597222,14
"8","BRISBANE","2004_A/California/7/2004-like",2004,"H3","A/California/7/2004-like","Y",17,159,87.19514603,0.919075145,1,1,"Y",1,0,0,51.1118691597222,17
"9","BRISBANE","2004_B/Shanghai/361/2002-like",2004,"B/Yam","B/Shanghai/361/2002-like","Y",18,14,7.677560028,0.080924855,1,1,"N",0.088050314,1,0.0751054515733712,51.1118691597222,18
"10","BRISBANE","2005_A/Wisconsin/67/2005-like",2005,"H3","A/Wisconsin/67/2005-like","Y",12,220,117.8859828,0.625,1,1,"Y",1,0,0,51.1118691597222,12
"11","BRISBANE","2005_B/Shanghai/361/2002-like",2005,"B/Yam","B/Shanghai/361/2002-like","Y",12,40,21.43381506,0.113636364,0,0,"N",0.181818182,0,0,51.1118691597222,12
"12","BRISBANE","2005_A/New Caledonia/20/99-like",2005,"H1sea","A/New Caledonia/20/99-like","Y",15,36,19.29043355,0.102272727,0,0,"N",0.163636364,3,0.555640116777241,51.1118691597222,15
"13","BRISBANE","2005_B/Hong Kong/330/2001-like",2005,"B/Vic","B/Hong Kong/330/2001-like","Y",14,29,15.53951592,0.082386364,0,0,"N",0.131818182,2,0.314513273743071,51.1118691597222,14
"14","BRISBANE","2005_B/Malaysia/2506/2004-like",2005,"B/Vic","B/Malaysia/2506/2004-like","Y",17,27,14.46782516,0.076704545,1,1,"N",0.122727273,5,1.87659586577245,51.1118691597222,17
"15","BRISBANE","2006_A/Wisconsin/67/2005-like",2006,"H3","A/Wisconsin/67/2005-like","Y",12,274,143.5859275,0.771830986,0,0,"Y",1,0,0,51.1118691597222,12
"16","BRISBANE","2006_B/Malaysia/2506/2004-like",2006,"B/Vic","B/Malaysia/2506/2004-like","Y",14,81,42.44693478,0.228169014,0,0,"N",0.295620438,2,0.0717691151442699,51.1118691597222,14
"17","BRISBANE","2007_A/Solomon Islands/3/2006-like",2007,"H1sea","A/Solomon Islands/3/2006-like","Y",12,153,78.10477986,0.482649842,1,0,"Y",1,0,0,51.1118691597222,14
"18","BRISBANE","2007_A/Wisconsin/67/2005-like",2007,"H3","A/Wisconsin/67/2005-like","Y",12,146,74.53135856,0.460567823,0,0,"N",0.954248366,0,0,51.1118691597222,14
"19","BRISBANE","2007_A/New Caledonia/20/99-like",2007,"H1sea","A/New Caledonia/20/99-like","Y",13,18,9.188797631,0.056782334,0,0,"N",0.117647059,1,0.0799014030471121,51.1118691597222,13
"20","BRISBANE","2008_B/Florida/4/2006-like",2008,"B/Yam","B/Florida/4/2006-like","Y",13,93,46.2179779,0.462686567,1,0,"Y",1,0,0,51.1118691597222,13
"21","BRISBANE","2008_B/Brisbane/60/2008-like",2008,"B/Vic","B/Brisbane/60/2008-like","Y",15,53,26.33927773,0.263681592,1,1,"N",0.569892473,2,0.17501639492305,51.1118691597222,15
"22","BRISBANE","2008_A/Wisconsin/67/2005-like",2008,"H3","A/Wisconsin/67/2005-like","Y",14,47,23.3574727,0.233830846,0,0,"N",0.505376344,1,0.0194462660992623,51.1118691597222,14
"23","BRISBANE","2008_A/Brisbane/59/2007-like",2008,"H1sea","A/Brisbane/59/2007-like","Y",17,8,3.975740034,0.039800995,1,0,"N",0.086021505,4,1.09871403459656,51.1118691597222,17
"24","BRISBANE","2009_A/California/7/2009-like",2009,"H1pdm09","A/California/7/2009-like","Y",11,30,14.50341048,0.909090909,1,1,"Y",1,0,0,51.1118691597222,13
"25","BRISBANE","2009_A/Perth/16/2009-like",2009,"H3","A/Perth/16/2009-like","Y",14,3,1.450341048,0.090909091,1,1,"N",0.1,3,0.208089324981708,51.1118691597222,NA
"26","BRISBANE","2010_A/California/7/2009-like",2010,"H1pdm09","A/California/7/2009-like","Y",13,230,109.0901502,0.845588235,0,0,"Y",1,0,0,51.1118691597222,12
