city,strain_year,year,subtype,reference_strain,epi_alarm,start,epi_counts,incidence_per_mil,epi_fractional_counts,new_ag_marker,first_detection_of_new_ag,first_n_biggest,relative_to_first_n_biggest,delay,prior_everything_scaled,mean_epi_size,type,earliest_A,largest_A,poor_timeseries,earliest_geog_start,firstNbiggest_earliest_geog,largest_geog_start,firstNbiggest_largest_geog,poor_timeseries_geog_start,firstNbiggest_poor_geog
ADELAIDE,2000_A/Moscow/10/99-like,2000,H3,A/Moscow/10/99-like,Y,16,64,56.00642674,0.576576577,NA,NA,Y,1,0,0,56.31193204,A,Y,Y,N,16,Y,16,Y,16,Y
ADELAIDE,2000_B/Sichuan/379/99-like,2000,B/Yam,B/Sichuan/379/99-like,Y,16,37,32.37871546,0.333333333,NA,NA,N,0.578125,0,0,56.31193204,B,N,N,N,16,N,16,N,16,N
ADELAIDE,2000_A/New Caledonia/20/99-like,2000,H1sea,A/New Caledonia/20/99-like,Y,19,10,8.751004178,0.09009009,NA,NA,N,0.15625,3,0.606068999,56.31193204,A,N,N,N,19,N,19,N,19,N
ADELAIDE,2001_A/New Caledonia/20/99-like,2001,H1sea,A/New Caledonia/20/99-like,Y,16,49,42.68270375,0.556818182,0,0,Y,1,0,0,56.31193204,A,Y,Y,N,16,Y,16,Y,16,Y
ADELAIDE,2001_A/Moscow/10/99-like,2001,H3,A/Moscow/10/99-like,Y,17,25,21.77688967,0.284090909,0,0,N,0.510204082,1,0.061875028,56.31193204,A,N,N,N,17,N,17,N,17,N
ADELAIDE,2001_B/Sichuan/379/99-like,2001,B/Yam,B/Sichuan/379/99-like,Y,18,14,12.19505821,0.159090909,0,0,N,0.285714286,2,0.262968867,56.31193204,B,N,N,N,18,N,18,N,18,N
ADELAIDE,2002_A/Moscow/10/99-like,2002,H3,A/Moscow/10/99-like,Y,11,148,128.1406361,0.860465116,0,0,Y,1,0,0,56.31193204,A,Y,Y,N,11,Y,11,Y,11,Y
ADELAIDE,2002_B/Hong Kong/330/2001-like,2002,B/Vic,B/Hong Kong/330/2001-like,Y,11,24,20.77956261,0.139534884,1,1,N,0.162162162,0,0,56.31193204,B,N,N,N,11,N,11,N,11,N
ADELAIDE,2002_B/Sichuan/379/99-like,2002,B/Yam,B/Sichuan/379/99-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2003_A/Fujian/411/2002-like,2003,H3,A/Fujian/411/2002-like,Y,16,151,129.920413,1,1,1,Y,1,0,0,56.31193204,A,Y,Y,N,16,Y,16,Y,16,Y
ADELAIDE,2004_A/California/7/2004-like,2004,H3,A/California/7/2004-like,Y,18,17,14.54805608,1,1,1,Y,1,0,0,56.31193204,A,Y,Y,N,18,Y,18,Y,18,Y
ADELAIDE,2004_B/Shanghai/361/2002-like,2004,B/Yam,B/Shanghai/361/2002-like,N,19,NA,NA,NA,0,1,N,NA,1,NA,56.31193204,B,N,N,N,19,N,19,N,19,N
ADELAIDE,2004_B/Florida/4/2006-like,2004,B/Yam,B/Florida/4/2006-like,N,NA,NA,NA,NA,0,1,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2004_B/Hong Kong/330/2001-like,2004,B/Vic,B/Hong Kong/330/2001-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,B,N,N,N,NA,N,NA,N,NA,N
ADELAIDE,2005_A/Wisconsin/67/2005-like,2005,H3,A/Wisconsin/67/2005-like,Y,12,85,72.19634007,0.46961326,1,1,Y,1,0,0,56.31193204,A,Y,Y,N,12,Y,12,Y,12,Y
ADELAIDE,2005_A/New Caledonia/20/99-like,2005,H1sea,A/New Caledonia/20/99-like,Y,14,49,41.61906663,0.270718232,0,0,N,0.576470588,2,0.346915468,56.31193204,A,N,N,N,14,N,14,N,14,N
ADELAIDE,2005_B/Shanghai/361/2002-like,2005,B/Yam,B/Shanghai/361/2002-like,Y,13,27,22.93295508,0.149171271,1,0,N,0.317647059,1,0.060333125,56.31193204,B,N,N,N,13,N,13,N,13,N
ADELAIDE,2005_B/Malaysia/2506/2004-like,2005,B/Vic,B/Malaysia/2506/2004-like,Y,17,12,10.19242448,0.066298343,1,1,N,0.141176471,5,1.975909839,56.31193204,B,N,N,N,17,N,17,N,17,N
ADELAIDE,2005_B/Hong Kong/330/2001-like,2005,B/Vic,B/Hong Kong/330/2001-like,Y,13,8,6.794949654,0.044198895,0,0,N,0.094117647,1,0.060333125,56.31193204,B,N,N,N,13,N,13,N,13,N
ADELAIDE,2006_B/Malaysia/2506/2004-like,2006,B/Vic,B/Malaysia/2506/2004-like,Y,13,25,21.02177604,1,0,0,Y,1,0,0,56.31193204,B,N,N,N,13,Y,13,Y,13,Y
ADELAIDE,2006_A/Wisconsin/67/2005-like,2006,H3,A/Wisconsin/67/2005-like,N,NA,NA,NA,NA,0,0,N,NA,NA,NA,56.31193204,A,N,N,N,NA,N,NA,N,NA,N
