"model","predictor","Estimate","Std. Error","t value","Pr(>|t|)"
"Full Model","(Intercept)",1.88,0.727,2.59,0.0112
"Full Model","start",-0.174,0.0319,-5.48,3.46e-07
"Full Model","first_in_season",0.412,0.224,1.84,0.0692
"Full Model","prior_activity_other_subtypes|first_in_season==F",-0.107,0.0899,-1.19,0.238
"Full Model","new_ag_maker",-0.0866,0.204,-0.425,0.672
"Full Model","cumulative_activity_same_variant|new_ag_maker==F",-0.0672,0.0736,-0.913,0.364
"Full Model","mean_epi_ah",-0.338,0.12,-2.82,0.00578
"Full Model","mean_epi_temp",0.225,0.0637,3.53,0.000638
"Model 1","(Intercept)",-0.736,0.624,-1.18,0.242
"Model 1","first_in_season",1.04,0.22,4.72,7.9e-06
"Model 1","prior_activity_other_subtypes|first_in_season==F",-0.221,0.0996,-2.22,0.0286
"Model 1","new_ag_maker",-0.0846,0.232,-0.364,0.717
"Model 1","cumulative_activity_same_variant|new_ag_maker==F",-0.0213,0.0834,-0.256,0.798
"Model 1","mean_epi_ah",-0.165,0.132,-1.25,0.213
"Model 1","mean_epi_temp",0.106,0.0683,1.56,0.123
"Model 2","(Intercept)",2.62,0.609,4.31,3.95e-05
"Model 2","start",-0.204,0.0272,-7.51,2.8e-11
"Model 2","new_ag_maker",-0.0585,0.204,-0.287,0.774
"Model 2","cumulative_activity_same_variant|new_ag_maker==F",-0.0753,0.073,-1.03,0.304
"Model 2","mean_epi_ah",-0.332,0.12,-2.75,0.00706
"Model 2","mean_epi_temp",0.218,0.064,3.41,0.00096
"Model 3","(Intercept)",1.72,0.693,2.48,0.015
"Model 3","start",-0.17,0.0313,-5.44,3.97e-07
"Model 3","first_in_season",0.436,0.22,1.98,0.0501
"Model 3","prior_activity_other_subtypes|first_in_season==F",-0.102,0.0887,-1.15,0.253
"Model 3","mean_epi_ah",-0.308,0.115,-2.68,0.00868
"Model 3","mean_epi_temp",0.206,0.0604,3.42,0.000919
"Model 4","(Intercept)",0.916,0.664,1.38,0.171
"Model 4","start",-0.151,0.0318,-4.74,7.35e-06
"Model 4","first_in_season",0.393,0.232,1.69,0.0934
"Model 4","prior_activity_other_subtypes|first_in_season==F",-0.111,0.093,-1.2,0.234
"Model 4","new_ag_maker",-0.0179,0.21,-0.0854,0.932
"Model 4","cumulative_activity_same_variant|new_ag_maker==F",-0.0161,0.0739,-0.218,0.828
"Model 4","mean_epi_temp",0.0676,0.032,2.12,0.0369
"Model 5","(Intercept)",1.41,0.755,1.86,0.0656
"Model 5","start",-0.136,0.0317,-4.3,4.06e-05
"Model 5","first_in_season",0.366,0.237,1.55,0.126
"Model 5","prior_activity_other_subtypes|first_in_season==F",-0.0984,0.095,-1.04,0.303
"Model 5","new_ag_maker",-0.0154,0.215,-0.0716,0.943
"Model 5","cumulative_activity_same_variant|new_ag_maker==F",0.00321,0.075,0.0429,0.966
"Model 5","mean_epi_ah",0.0319,0.0614,0.519,0.605
