"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","adjusted_d.AH_pvalue","adjusted_d.temp_pvalue","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.39432165254735,0.053762,0.650886655587116,0.948504,1,0.26881,1,"0.651  (0.949)","-0.394  (0.054)"
"BRISBANE",-0.208464339154545,0.323779,-0.145945365118752,0.328949,1,0.647558,1,"-0.146  (0.329)","-0.208  (0.324)"
"MELBOURNE",-0.182515831415488,0.195564,-0.0846742979242976,0.423678,1,0.586692,1,"-0.085  (0.424)","-0.183  (0.196)"
"PERTH",-0.522277668562927,0.062571,-0.271755730828311,0.265604,1,0.26881,1,"-0.272  (0.266)","-0.522  (0.063)"
"SYDNEY",0.189976666766442,0.697329,0.21944826007326,0.755257,1,0.697329,1,"0.219  (0.755)","0.19  (0.697)"
"ADELAIDE",-0.366599351798316,0.028846,0.269926536597043,0.826403,2,0.14423,1,"0.27  (0.826)","-0.367  (0.029)"
"BRISBANE",-0.310355502843756,0.189764,-0.121582993619284,0.326594,2,0.569292,1,"-0.122  (0.327)","-0.31  (0.19)"
"MELBOURNE",-0.0618637860589892,0.352748,0.176482295482296,0.722251,2,0.705496,1,"0.176  (0.722)","-0.062  (0.353)"
"PERTH",-0.43393135808995,0.052531,-0.328461390759778,0.166999,2,0.210124,0.834995,"-0.328  (0.167)","-0.434  (0.053)"
"SYDNEY",-0.0188880656586294,0.46975,0.0851721611721612,0.644168,2,0.705496,1,"0.085  (0.644)","-0.019  (0.47)"
"ADELAIDE",-0.311473535965317,0.040392,0.168161712839132,0.758133,3,0.20196,1,"0.168  (0.758)","-0.311  (0.04)"
"BRISBANE",-0.111607985051244,0.353984,0.0103953237622591,0.522406,3,1,1,"0.01  (0.522)","-0.112  (0.354)"
"MELBOURNE",-0.0272787007800105,0.415415,0.220101953601955,0.799244,3,1,1,"0.22  (0.799)","-0.027  (0.415)"
"PERTH",-0.298686987714005,0.097465,-0.276032927645831,0.175826,3,0.38986,0.87913,"-0.276  (0.176)","-0.299  (0.097)"
"SYDNEY",0.061752262398505,0.600385,0.26840460927961,0.89173,3,1,1,"0.268  (0.892)","0.062  (0.6)"
