"model","predictor","Estimate","Std. Error","Standardised Coefficient","Std. Error (Standardised Coefficient)","t value","Pr(>|t|)"
"Full Model","(Intercept)",2.31,0.74,-0.234,0.186,3.12,0.00234
"Full Model","start",-0.143,0.0297,-0.925,0.192,-4.81,5.16e-06
"Full Model","first_in_season",0.592,0.215,0.592,0.215,2.76,0.0069
"Full Model","prior_activity_other_subtypes|first_in_season==F",-0.0103,0.111,-0.0163,0.176,-0.0925,0.926
"Full Model","new_ag_maker",-0.11,0.224,-0.11,0.224,-0.489,0.626
"Full Model","cumulative_activity_same_variant|new_ag_maker==F",-0.000363,0.0769,-0.00108,0.229,-0.00471,0.996
"Full Model","mean_epi_ah",-0.331,0.123,-0.934,0.347,-2.69,0.00839
"Full Model","mean_epi_temp",0.161,0.0666,0.816,0.338,2.41,0.0176
"Full Model","mean_epi_rainfall",-0.0846,0.0479,-0.309,0.175,-1.77,0.0801
"Model 1","(Intercept)",-0.0944,0.601,-0.534,0.193,-0.157,0.875
"Model 1","first_in_season",1.1,0.206,1.1,0.206,5.32,6.12e-07
"Model 1","prior_activity_other_subtypes|first_in_season==F",-0.141,0.119,-0.224,0.188,-1.19,0.237
"Model 1","new_ag_maker",-0.0605,0.246,-0.0605,0.246,-0.246,0.806
"Model 1","cumulative_activity_same_variant|new_ag_maker==F",0.0374,0.0843,0.111,0.251,0.444,0.658
"Model 1","mean_epi_ah",-0.149,0.129,-0.42,0.364,-1.15,0.252
"Model 1","mean_epi_temp",0.0624,0.0698,0.317,0.355,0.894,0.373
"Model 1","mean_epi_rainfall",-0.0854,0.0527,-0.311,0.192,-1.62,0.108
"Model 2","(Intercept)",3.32,0.657,0.0709,0.16,5.05,1.84e-06
"Model 2","start",-0.183,0.0269,-1.19,0.174,-6.81,6.18e-10
"Model 2","new_ag_maker",-0.09,0.231,-0.09,0.231,-0.39,0.697
"Model 2","cumulative_activity_same_variant|new_ag_maker==F",-0.03,0.0791,-0.0894,0.235,-0.38,0.705
"Model 2","mean_epi_ah",-0.287,0.127,-0.809,0.357,-2.26,0.0257
"Model 2","mean_epi_temp",0.125,0.0681,0.636,0.346,1.84,0.0688
"Model 2","mean_epi_rainfall",-0.0839,0.0496,-0.306,0.181,-1.69,0.0936
"Model 3","(Intercept)",2.26,0.699,-0.285,0.134,3.23,0.00164
"Model 3","start",-0.144,0.0293,-0.93,0.19,-4.9,3.47e-06
"Model 3","first_in_season",0.562,0.208,0.562,0.208,2.7,0.00804
"Model 3","prior_activity_other_subtypes|first_in_season==F",-0.000905,0.109,-0.00144,0.174,-0.00827,0.993
"Model 3","mean_epi_ah",-0.332,0.118,-0.936,0.332,-2.82,0.00575
"Model 3","mean_epi_temp",0.162,0.0633,0.823,0.321,2.56,0.0119
"Model 3","mean_epi_rainfall",-0.0847,0.0475,-0.309,0.173,-1.78,0.0772
"Model 4","(Intercept)",1.42,0.681,-0.28,0.191,2.08,0.0397
"Model 4","start",-0.118,0.0291,-0.766,0.188,-4.07,9.3e-05
"Model 4","first_in_season",0.55,0.22,0.55,0.22,2.5,0.0142
"Model 4","prior_activity_other_subtypes|first_in_season==F",-0.0261,0.114,-0.0415,0.181,-0.229,0.819
"Model 4","new_ag_maker",0.0032,0.226,0.0032,0.226,0.0141,0.989
"Model 4","cumulative_activity_same_variant|new_ag_maker==F",0.0558,0.0762,0.166,0.227,0.733,0.465
"Model 4","mean_epi_temp",0.00611,0.0346,0.031,0.176,0.177,0.86
"Model 4","mean_epi_rainfall",-0.124,0.0469,-0.452,0.171,-2.64,0.00956
"Model 5","(Intercept)",2.12,0.752,-0.257,0.19,2.82,0.00577
"Model 5","start",-0.121,0.0289,-0.783,0.187,-4.18,6.07e-05
"Model 5","first_in_season",0.519,0.217,0.519,0.217,2.39,0.0188
"Model 5","prior_activity_other_subtypes|first_in_season==F",-0.0129,0.114,-0.0205,0.18,-0.114,0.91
"Model 5","new_ag_maker",-0.00834,0.225,-0.00834,0.225,-0.0371,0.971
"Model 5","cumulative_activity_same_variant|new_ag_maker==F",0.0535,0.0753,0.159,0.224,0.711,0.479
"Model 5","mean_epi_ah",-0.0744,0.0635,-0.21,0.179,-1.17,0.244
"Model 5","mean_epi_rainfall",-0.0911,0.0489,-0.332,0.178,-1.86,0.0652
"Model 6","(Intercept)",2.59,0.729,-0.234,0.188,3.55,0.000577
"Model 6","start",-0.143,0.03,-0.926,0.194,-4.77,6.07e-06
"Model 6","first_in_season",0.583,0.217,0.583,0.217,2.69,0.00837
"Model 6","prior_activity_other_subtypes|first_in_season==F",-0.00217,0.112,-0.00344,0.178,-0.0193,0.985
"Model 6","new_ag_maker",-0.101,0.226,-0.101,0.226,-0.448,0.655
"Model 6","cumulative_activity_same_variant|new_ag_maker==F",0.00435,0.0776,0.013,0.231,0.0561,0.955
"Model 6","mean_epi_ah",-0.397,0.118,-1.12,0.334,-3.36,0.00111
"Model 6","mean_epi_temp",0.167,0.0672,0.85,0.341,2.49,0.0143
