"city","mean_emperical_sample_mean_d.AH","d.AH_pvalue","mean_emperical_sample_mean_d.temp","d.temp_pvalue","num_preceding_fortnight","ManuscriptTable_Temp","ManuscriptTable_AH"
"ADELAIDE",-0.298492963352727,0.049605,-0.0430790643048707,0.465208,1,"-0.0431  (0.465)","-0.298  (0.0496)"
"BRISBANE",-0.187721013576298,0.288763,0.101098428453267,0.666999,1,"0.101  (0.667)","-0.188  (0.289)"
"MELBOURNE",-0.167557687068244,0.138408,-0.376522297057781,0.100348,1,"-0.377  (0.1)","-0.168  (0.138)"
"PERTH",-0.489187344279766,0.024442,0.0177156642640511,0.535389,1,"0.0177  (0.535)","-0.489  (0.0244)"
"SYDNEY",0.376659755021226,0.92224,0.199564688644688,0.804268,1,"0.2  (0.804)","0.377  (0.922)"
"ADELAIDE",-0.172895304191394,0.120753,0.0784514034352747,0.662364,2,"0.0785  (0.662)","-0.173  (0.121)"
"BRISBANE",0.130375640469336,0.703433,0.224930934656741,0.874789,2,"0.225  (0.875)","0.13  (0.703)"
"MELBOURNE",-0.00894242412009738,0.448401,-0.0977679454356875,0.337786,2,"-0.0978  (0.338)","-0.00894  (0.448)"
"PERTH",-0.133567837504658,0.226307,0.0285293434164401,0.559455,2,"0.0285  (0.559)","-0.134  (0.226)"
"SYDNEY",-0.0222579889616678,0.454857,-0.00402388278388338,0.510749,2,"-0.00402  (0.511)","-0.0223  (0.455)"
"ADELAIDE",-0.0574930779194578,0.36298,0.0610407465891337,0.649257,3,"0.061  (0.649)","-0.0575  (0.363)"
"BRISBANE",0.0136512984202059,0.531742,0.131655033138904,0.780415,3,"0.132  (0.78)","0.0137  (0.532)"
"MELBOURNE",-0.0186192273617303,0.408925,-0.013335651047479,0.476185,3,"-0.0133  (0.476)","-0.0186  (0.409)"
"PERTH",0.00505081400108264,0.461928,-0.0715875247810733,0.379146,3,"-0.0716  (0.379)","0.00505  (0.462)"
"SYDNEY",0.0719303680375395,0.66013,-0.0573319169719171,0.378739,3,"-0.0573  (0.379)","0.0719  (0.66)"
